Epoka,BPM_Srednie,SPO2,HRV,Energia_Ruchu,Faza_Snu
1,87,95,1.13,5.74,0
2,81,96,2.01,7.08,0
3,81,95,2.93,6.1,0
4,79,95,2.28,7.81,0
5,82,99,1.65,2.41,0
6,78,97,1.07,6.47,0
7,80,95,1.06,5.91,0
8,82,95,1.88,2.89,0
9,87,96,1.84,4.74,0
10,86,99,1.4,5.4,0
11,82,95,0.66,11.88,0
12,82,94,0.41,10.99,0
13,87,94,1.42,6.92,0
14,82,94,2.43,9.03,0
15,79,94,1.55,7.05,0
16,75,94,0.86,9.18,0
17,78,94,1.46,5.7,0
18,81,95,1.58,4.22,0
19,79,99,1.85,6.89,0
20,79,95,1.86,7.1,0
21,79,95,1.86,11.59,0
22,82,96,1.61,11.78,0
23,83,95,1.22,9.02,0
24,84,96,1.5,5.5,0
25,79,99,1.96,10.36,0
26,82,94,1.73,9.1,0
27,80,98,1.63,7.94,0
28,83,99,2.15,11.67,0
29,81,97,2.04,6.77,0
30,81,96,2.38,5.3,0
31,78,98,2.61,10.9,0
32,82,96,2.7,6.49,0
33,82,96,1.85,7.6,0
34,83,96,1.39,5.26,0
35,80,98,2.3,4.06,0
36,80,94,1.87,4.0,0
37,81,98,1.36,5.22,0
38,81,94,1.36,5.36,0
39,82,99,0.78,6.67,0
40,81,96,0.69,5.07,0
41,81,98,1.76,12.05,0
42,82,94,1.79,3.39,0
43,85,94,1.54,9.44,0
44,87,99,1.17,7.86,0
45,90,96,1.13,8.82,0
46,83,94,2.73,0.9,1
47,78,95,4.69,2.0,1
48,72,95,4.53,1.65,1
49,74,94,3.39,0.26,1
50,70,95,4.3,0.95,1
51,71,95,5.51,0.31,1
52,70,96,4.95,0.96,1
53,71,96,3.92,1.47,1
54,74,94,2.18,8.5,0
55,73,97,1.98,1.85,1
56,74,94,3.76,1.8,1
57,70,94,3.9,0.66,1
58,73,96,3.4,0.71,1
59,74,98,4.34,0.63,1
60,74,94,4.19,0.7,1
61,71,96,3.97,0.78,1
62,69,96,4.68,1.13,1
63,70,99,4.21,1.27,1
64,70,95,3.88,1.79,1
65,70,96,4.13,1.25,1
66,69,94,4.67,0.94,1
67,70,96,3.9,1.63,1
68,70,99,3.47,0.7,1
69,71,96,4.41,1.67,1
70,70,99,4.62,1.82,1
71,71,99,4.36,0.98,1
72,72,94,4.05,1.52,1
73,74,94,4.07,0.69,1
74,72,98,3.47,0.74,1
75,69,95,2.91,0.95,1
76,69,96,3.6,1.84,1
77,70,95,4.29,1.41,1
78,73,99,4.92,1.45,1
79,72,98,4.62,0.2,1
80,67,98,4.45,1.21,1
81,69,96,4.11,1.12,1
82,68,98,3.69,1.8,1
83,73,99,2.99,0.68,1
84,73,94,2.84,0.6,1
85,75,99,3.89,1.53,1
86,74,94,4.03,0.93,1
87,73,94,3.39,0.95,1
88,72,98,4.59,1.7,1
89,70,94,5.28,1.3,1
90,73,96,3.4,6.54,0
91,72,94,3.86,1.68,1
92,78,95,3.48,6.11,0
93,75,98,3.4,0.93,1
94,76,95,4.95,1.32,1
95,71,96,4.36,2.1,1
96,69,95,6.02,0.0,2
97,65,97,7.74,0.05,2
98,62,97,7.52,0.11,2
99,63,99,6.58,0.06,2
100,61,99,6.48,0.0,2
101,61,94,7.44,0.13,2
102,60,99,6.52,0.0,2
103,61,96,6.5,0.07,2
104,62,96,6.37,0.02,2
105,70,95,4.19,6.92,0
106,70,95,4.96,0.05,2
107,71,99,6.17,0.0,2
108,65,94,5.41,0.0,2
109,65,94,7.11,0.05,2
110,63,95,8.12,0.01,2
111,62,95,6.88,0.02,2
112,62,96,6.13,0.09,2
113,62,99,6.27,0.06,2
114,63,98,6.42,0.11,2
115,63,94,7.37,0.07,2
116,62,95,7.04,0.0,2
117,62,99,7.08,0.07,2
118,62,96,6.83,0.05,2
119,63,94,6.8,0.13,2
120,63,96,7.81,0.01,2
121,64,97,6.78,0.07,2
122,62,95,6.99,0.03,2
123,61,98,7.09,0.04,2
124,60,99,6.64,0.06,2
125,66,98,3.98,6.09,0
126,69,97,3.05,1.63,1
127,71,98,4.56,2.19,1
128,71,98,5.09,0.92,1
129,71,99,4.45,1.46,1
130,75,94,2.79,9.13,0
131,73,97,3.31,0.01,1
132,75,95,3.66,1.11,1
133,73,98,3.96,0.36,1
134,70,96,4.48,0.12,1
135,69,96,4.65,1.07,1
136,66,99,4.88,0.86,1
137,68,95,4.2,1.12,1
138,68,99,3.53,0.58,1
139,80,94,2.13,7.97,0
140,79,94,2.28,0.96,1
141,82,97,3.3,1.14,1
142,73,94,2.52,9.82,0
143,74,98,3.14,1.77,1
144,78,97,3.26,7.09,0
145,81,94,2.68,0.49,1
146,82,96,2.44,0.03,3
147,78,97,2.59,6.57,0
148,74,98,2.2,0.02,3
149,75,99,1.55,0.01,3
150,72,97,1.59,0.06,3
151,77,96,1.49,0.03,3
152,77,94,1.5,0.04,3
153,80,94,1.16,0.03,3
154,81,95,1.29,0.03,3
155,81,99,1.38,0.06,3
156,84,94,1.01,10.04,0
157,84,96,1.09,4.99,0
158,84,98,1.51,8.12,0
159,81,98,1.79,6.97,0
160,79,94,2.04,6.37,0
161,76,95,1.8,13.0,0
162,78,97,0.78,8.13,0
163,79,99,0.83,4.69,0
164,84,99,1.86,5.87,0
165,84,99,1.13,6.82,0
166,85,99,0.94,8.87,0
167,84,95,1.74,6.07,0
168,83,99,1.5,3.79,0
169,85,94,0.94,8.23,0
170,84,99,1.07,4.96,0
171,83,95,1.45,9.55,0
172,79,98,1.58,6.55,0
173,79,98,1.58,6.1,0
174,80,99,1.28,10.96,0
175,86,99,1.93,2.88,0
176,86,97,2.05,10.75,0
177,87,99,1.75,8.9,0
178,87,95,1.8,4.34,0
